Parametr,Wartość
product_name,Voidfall
original_title,Voidfall
is_preorder,False
release_date_note,
publisher,Portal Games
designer,"Nigel Buckle, Dawid
  Turczi"
illustrator,"Ian
  O'Toole"
edition_language,polski
manual_language,polski
players,
age,12+
play_time,45-150
instruction_pdf,"https://porta
  lgames.blob.core.windows.net/voidfall/Voidfall_instrukcja-compressed.pdf"
